,Provider_Number,Hospital_Name,Address,City,State,ZIP_Code,County_Name,Hours physical restraint rate per 1000,Hours physical restraint,Total inpatient hours,Hours seclusion rate per 1000,Hours seclusion,Total inpatient hours,Discharged 2+ meds %,Discharged 2+ meds with justification,Discharged 2+ meds total,Post discharge continuing care plan %,Post discharge continuing care plan created,Total discharge patients,Continuing care plan sent to next provider %,Continuing care plan sent to next provider,Total continuing care plans,Alcohol Screen Complete %,Alcohol Screen Numerator,Alcohol Screen Denominator,TOB-1_%,TOB-1_Numerator,TOB-1_Denominator,Tobacco Use Screen %,TOB-2_Numerator,TOB-2/-2a_Denominator,TOB-2a_%,TOB-2a_Numerator,TOB-2/-2a__Denominator,PEoC_Assessed_Response,EHR Use,HIE_Response,Start_Date,End_Date,% Patients Follow Up Care within 30 days,FUH-30_Numerator,FUH-30_Denominator,% Patients Follow Up Care within 7 days for mental illness,FUH-7_Numerator,FUH-7_Denominator,FUH_Measure_Start_Date,FUH_Measure_End_Date,IMM-2_%,IMM-2_Numerator,IMM-2_Denominator,HCP_%,HCP_Numerator,HCP_Denominator,Flu_Season_Start_Date,Flu_Season_End_Date
288,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,7201 N UNIVERSITY DR ,TAMARAC,FL,33321,Broward,0.03,19.25,27805.0,0.01,8.45,27805,100.0,40,40,99.81%,1055,1057,99.72%,1054,1057,99.73%,371,372,100.00%,376,376,66.67%,106,159,Not Available,Not Available,Not Available,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,54.94%,139,253,32.41%,82,253,07/01/2014,06/30/2015,92.31%,336,364,71,112,158,10/01/2015,03/31/2016
289,100226,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE ,ORANGE PARK,FL,32073,Clay,0.0,0.0,10185.0,0.0,0,10185,94.12,16,17,99.75%,396,397,99.75%,396,397,99.81%,531,532,100.00%,532,532,100.00%,256,256,12.50%,32,256,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,52.71%,68,129,26.36%,34,129,07/01/2014,06/30/2015,98.99%,394,398,98,59,60,10/01/2015,03/31/2016
290,100231,WEST FLORIDA HOSPITAL,8383 N DAVIS HIGHWAY ,PENSACOLA,FL,32514,Escambia,0.01,3.58,19567.0,0.01,2.48,19567,96.55,28,29,97.70%,679,695,97.41%,677,695,98.06%,354,361,98.62%,357,362,65.27%,109,167,28.74%,48,167,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,40.32%,100,248,16.13%,40,248,07/01/2014,06/30/2015,100.00%,332,332,88,189,215,10/01/2015,03/31/2016
291,100234,WEST PALM HOSPITAL,2201 45TH  ST ,WEST PALM BEACH,FL,33407,Palm Beach,0.02,13.73,27443.0,0.0,0,27443,100.0,41,41,99.88%,812,813,99.51%,809,813,100.00%,467,467,99.57%,464,466,77.78%,119,153,Not Available,Not Available,Not Available,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,48.25%,138,286,30.42%,87,286,07/01/2014,06/30/2015,98.08%,409,417,89,211,236,10/01/2015,03/31/2016
292,100243,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR ,BRANDON,FL,33511,Hillsborough,0.06,14.4,10090.0,0.24,57.45,10090,,Not Available,Not Available,83.59%,275,329,82.67%,272,329,99.27%,407,410,99.76%,410,411,79.60%,160,201,Not Available,Not Available,Not Available,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,41.77%,66,158,18.99%,30,158,07/01/2014,06/30/2015,99.74%,385,386,90,479,532,10/01/2015,03/31/2016
293,100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST ,FORT PIERCE,FL,34950,Saint Lucie,0.01,1.5,9395.0,0.0,0,9395,100.0,30,30,100.00%,946,946,99.89%,945,946,100.00%,508,508,99.80%,507,508,98.63%,289,293,4.44%,13,293,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,32.72%,53,162,14.20%,23,162,07/01/2014,06/30/2015,100.00%,365,365,76,50,66,10/01/2015,03/31/2016
294,100248,LARGO MEDICAL CENTER,201 14TH ST SW ,LARGO,FL,33770,Pinellas,0.03,21.75,27397.0,0.03,19.85,27397,,Not Available,Not Available,99.11%,558,563,98.76%,556,563,100.00%,687,687,99.86%,692,693,99.16%,355,358,5.03%,18,358,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,39.67%,121,305,17.70%,54,305,07/01/2014,06/30/2015,99.26%,402,405,73,204,280,10/01/2015,03/31/2016
295,100254,CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD ,TALLAHASSEE,FL,32308,Leon,0.0,0.02,4014.0,0.0,0,4014,,Not Available,Not Available,91.49%,129,141,60.99%,86,141,100.00%,222,222,100.00%,221,221,73.96%,71,96,38.54%,37,96,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,95.57%,151,158,71,36,51,10/01/2015,03/31/2016
296,100255,TAMPA COMMUNITY HOSPITAL,6001 WEBB RD ,TAMPA,FL,33615,Hillsborough,0.04,7.83,8135.0,0.04,8.48,8135,89.47,17,19,99.17%,360,363,96.42%,350,363,99.74%,385,386,100.00%,302,302,98.61%,142,144,11.81%,17,144,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,34.20%,66,193,18.65%,36,193,07/01/2014,06/30/2015,99.35%,152,153,87,67,77,10/01/2015,03/31/2016
297,100258,DELRAY MEDICAL CENTER,5352 LINTON BLVD ,DELRAY BEACH,FL,33484,Palm Beach,0.0,0.1,16209.0,0.0,0,16209,100.0,22,22,98.15%,318,324,97.84%,317,324,99.79%,465,466,99.14%,461,465,53.49%,92,172,24.42%,42,172,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,69.84%,176,252,39.68%,100,252,07/01/2014,06/30/2015,99.44%,354,356,77,75,97,10/01/2015,03/31/2016
298,100260,ST LUCIE MEDICAL CENTER,1800 SE TIFFANY AVE ,PORT SAINT LUCIE,FL,34952,Saint Lucie,0.86,155.2,7518.0,0.08,14.55,7518,100.0,22,22,100.00%,717,717,100.00%,717,717,100.00%,471,471,100.00%,470,470,93.72%,209,223,12.11%,27,223,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,41.83%,64,153,19.61%,30,153,07/01/2014,06/30/2015,94.41%,338,358,57,39,68,10/01/2015,03/31/2016
299,100288,ST MARY'S MEDICAL CENTER,901 45TH ST ,WEST PALM BEACH,FL,33407,Palm Beach,0.02,5.53,11322.0,0.02,5.28,11322,100.0,39,39,99.26%,533,537,98.70%,530,537,98.09%,411,419,92.65%,391,422,68.12%,156,229,56.33%,129,229,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,32.50%,52,160,16.88%,27,160,07/01/2014,06/30/2015,97.77%,350,358,95,56,59,10/01/2015,03/31/2016
300,104008,"THE JEROME GOLDEN CENTER FOR BEHAVIORAL HEALTH, IN",1041 45TH ST ,WEST PALM BEACH,FL,33407,Palm Beach,0.14,55.9,16673.0,0.07,26.65,16673,0.0,0,24,97.16%,376,387,88.89%,344,387,93.90%,323,344,29.86%,103,345,0.00%,0,42,0.00%,0,42,Yes,Non-Certified EHR Technology,Yes,01/01/2015,12/31/2015,42.16%,43,102,23.53%,24,102,07/01/2014,06/30/2015,59.35%,184,310,37,205,559,10/01/2015,03/31/2016
301,104016,RIVER POINT BEHAVIORAL HEALTH,6300 BEACH BLVD ,JACKSONVILLE,FL,32216,Duval,0.23,78.5,14294.0,0.02,7.02,14294,,Not Available,Not Available,96.45%,597,619,95.15%,589,619,99.42%,516,519,99.23%,518,522,96.76%,329,340,3.82%,13,340,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,39.60%,99,250,23.60%,59,250,07/01/2014,06/30/2015,81.06%,244,301,77,229,297,10/01/2015,03/31/2016
302,104017,WINDMOOR HEALTHCARE OF CLEARWATER,11300 US 19 N ,CLEARWATER,FL,33764,Pinellas,0.08,71.41,35391.0,0.0,.18,35391,96.7,88,91,99.34%,1057,1064,98.31%,1046,1064,100.00%,730,730,100.00%,730,730,87.28%,453,519,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,53.98%,244,452,36.28%,164,452,07/01/2014,06/30/2015,93.69%,401,428,61,178,293,10/01/2015,03/31/2016
303,104018,LIFESTREAM BEHAVIORAL CENTER,P O BOX 491000 ,LEESBURG,FL,34749,Lake,0.2,53.0,10831.0,0.0,0,10831,60.0,24,40,93.58%,2434,2601,36.41%,947,2601,0.00%,0,2570,100.00%,2570,2570,0.00%,0,1554,0.00%,0,1554,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,43.22%,118,273,20.88%,57,273,07/01/2014,06/30/2015,0.00%,0,1322,30,19,63,10/01/2015,03/31/2016
304,104024,"CIRCLES OF CARE, INC",400 E SHERIDAN RD ,MELBOURNE,FL,32901,Brevard,0.24,34.15,5856.0,0.0,.5,5856,46.51,20,43,99.87%,759,760,99.21%,754,760,100.00%,451,451,98.21%,439,447,9.81%,21,214,Not Available,Not Available,Not Available,Yes,Certified EHR Technology,No,01/01/2015,12/31/2015,52.21%,189,362,29.83%,108,362,07/01/2014,06/30/2015,48.40%,181,374,67,463,696,10/01/2015,03/31/2016
305,104026,FORT LAUDERDALE HOSPITAL,1601 E LAS OLAS BLVD ,FORT LAUDERDALE,FL,33301,Broward,0.02,15.41,34117.0,0.03,22.63,34117,68.18,15,22,99.50%,1380,1387,96.40%,1337,1387,95.76%,587,613,99.51%,610,613,100.00%,452,452,32.08%,145,452,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,45.61%,78,171,23.98%,41,171,07/01/2014,06/30/2015,93.70%,506,540,85,254,298,10/01/2015,03/31/2016
306,104027,WEST FLORIDA COMMUNITY CARE CENTER,5500 STEWART ST ,MILTON,FL,32570,Santa Rosa,0.12,18.72,6423.0,0.1,14.73,6423,100.0,74,74,100.00%,124,124,100.00%,124,124,100.00%,104,104,100.00%,124,124,100.00%,99,99,100.00%,99,99,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,0.00%,0,27,07/01/2014,06/30/2015,0.00%,0,55,44,56,128,10/01/2015,03/31/2016
307,104040,CENTERSTONE OF FLORIDA,391 6TH AVENUE W ,BRADENTON,FL,34205,Manatee,0.03,6.42,9308.0,0.0,0,9308,61.29,38,62,98.96%,1432,1447,85.21%,1233,1447,99.50%,1196,1202,99.83%,1200,1202,64.49%,483,749,48.60%,364,749,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,46.77%,58,124,28.23%,35,124,07/01/2014,06/30/2015,37.21%,237,637,45,222,490,10/01/2015,03/31/2016
308,104049,SOUTHERN WINDS,4225 W 20TH AVE ,HIALEAH,FL,33012,Miami-Dade,0.0,1.58,16876.0,0.0,0,16876,11.98,23,192,100.00%,352,352,100.00%,352,352,100.00%,2335,2335,100.00%,2335,2335,92.80%,838,903,7.20%,65,903,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,37.84%,168,444,22.07%,98,444,07/01/2014,06/30/2015,0.00%,0,1598,32,76,238,10/01/2015,03/31/2016
309,104057,SPRINGBROOK HOSPITAL,7007 GROVE RD ,BROOKSVILLE,FL,34609,Hernando,0.0,0.0,30716.0,0.0,0,30716,0.0,0,40,93.76%,1066,1137,29.64%,337,1137,99.08%,1191,1202,48.93%,550,1124,95.41%,270,283,17.67%,50,283,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,52.95%,260,491,32.79%,161,491,07/01/2014,06/30/2015,11.28%,44,390,62,134,216,10/01/2015,03/31/2016
310,104059,EASTSIDE PSYCHIATRIC HOSPITAL,"2634B CAPITAL CIRCLE NE, 2ND FLR ",TALLAHASSEE,FL,32308,Leon,0.03,4.45,6498.0,0.18,28.35,6498,,Not Available,Not Available,78.02%,291,373,73.19%,273,373,96.05%,729,759,60.85%,443,728,71.90%,151,210,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,40.26%,62,154,7.79%,12,154,07/01/2014,06/30/2015,50.52%,241,477,45,178,398,10/01/2015,03/31/2016
311,104063,"WILLOUGH AT NAPLES, THE",9001 TAMIAMI TRAIL EAST ,NAPLES,FL,34113,Collier,0.0,0.0,216380.0,0.0,0,21638,,Not Available,Not Available,82.21%,268,326,80.67%,263,326,87.71%,635,724,99.70%,675,677,90.40%,471,521,8.25%,43,521,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,43.19%,257,595,21.34%,127,595,07/01/2014,06/30/2015,4.41%,18,408,52,95,184,10/01/2015,03/31/2016
312,104065,ATLANTIC SHORES HOSPITAL,4545 N FEDERAL HWY ,FORT LAUDERDALE,FL,33308,Broward,0.0,0.0,13495.0,0.0,0,13495,,Not Available,Not Available,99.10%,330,333,98.80%,329,333,99.61%,505,507,88.76%,450,507,100.00%,294,294,11.90%,35,294,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,49.48%,48,97,28.87%,28,97,07/01/2014,06/30/2015,75.00%,231,308,77,167,218,10/01/2015,03/31/2016
313,104067,ASPIRE HEALTH PARTNERS,1800 MERCY DR ,ORLANDO,FL,32808,Orange,1.16,274.95,9856.0,0.03,7.62,9856,0.0,0,38,69.64%,390,560,69.64%,390,560,Not Available,Not Available,Not Available,39.26%,190,484,0.00%,0,158,0.00%,0,158,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,26.85%,87,324,6.79%,22,324,07/01/2014,06/30/2015,0.00%,0,263,53,40,75,10/01/2015,03/31/2016
314,104068,"CENTERS INC, THE",5664 SW 60TH AVE ,OCALA,FL,34474,Marion,,0.0,0.0,1.11,119.98,4512,100.0,140,140,100.00%,845,845,100.00%,845,845,100.00%,902,902,100.00%,902,902,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,37.83%,87,230,15.22%,35,230,07/01/2014,06/30/2015,0.00%,0,410,0,0,150,10/01/2015,03/31/2016
315,104069,WEKIVA SPRINGS,3947 SALISBURY RD ,JACKSONVILLE,FL,32216,Duval,0.03,13.65,22604.0,0.02,11.76,22604,,Not Available,Not Available,99.40%,828,833,98.68%,822,833,99.70%,671,673,95.25%,641,673,98.14%,370,377,10.61%,40,377,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,56.85%,112,197,36.04%,71,197,07/01/2014,06/30/2015,86.78%,315,363,33,78,238,10/01/2015,03/31/2016
316,104070,PORT ST LUCIE HOSPITAL,2550 SE WALTON RD ,PORT SAINT LUCIE,FL,34952,Saint Lucie,0.0,2.58,303600.0,,0,0,100.0,21,21,99.40%,329,331,93.66%,310,331,99.83%,593,594,99.29%,563,567,73.86%,291,394,6.60%,26,394,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,48.65%,90,185,21.62%,40,185,07/01/2014,06/30/2015,70.20%,106,151,8,14,178,10/01/2015,03/31/2016
317,104071,VINES HOSPITAL,3130 SW 27TH AVE ,OCALA,FL,34474,Marion,0.02,9.58,17838.0,0.08,34.03,17838,,Not Available,Not Available,87.56%,704,804,79.73%,641,804,84.12%,498,592,94.09%,557,592,89.30%,267,299,10.70%,32,299,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,52.05%,152,292,29.45%,86,292,07/01/2014,06/30/2015,81.82%,288,352,32,74,228,10/01/2015,03/31/2016
318,104072,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PARKWAY ,ORLANDO,FL,32821,Orange,0.03,28.65,41289.0,0.2,203,41289,35.48,11,31,99.88%,1612,1614,93.80%,1514,1614,99.84%,633,634,99.37%,630,634,50.23%,107,213,48.36%,103,213,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,46.72%,214,458,28.38%,130,458,07/01/2014,06/30/2015,71.88%,455,633,73,374,514,10/01/2015,03/31/2016
319,104073,EMERALD COAST BEHAVIORAL HOSPITAL,1940 HARRISON AVE ,PANAMA CITY,FL,32405,Bay,0.08,52.03,25801.0,0.18,109.9,25801,81.25,13,16,99.51%,1020,1025,98.15%,1006,1025,98.28%,285,290,96.90%,281,290,84.21%,128,152,26.97%,41,152,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,48.45%,125,258,24.03%,62,258,07/01/2014,06/30/2015,65.35%,232,355,68,213,311,10/01/2015,03/31/2016
320,104074,PARK ROYAL HOSPITAL,9241 PARK ROYAL DR ,FORT MYERS,FL,33908,Lee,0.05,36.2,29565.0,0.06,41.1,29565,,Not Available,Not Available,97.75%,652,667,88.91%,593,667,88.29%,520,589,89.58%,533,595,67.46%,141,209,46.41%,97,209,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,49.16%,353,718,28.41%,204,718,07/01/2014,06/30/2015,28.94%,112,387,72,237,328,10/01/2015,03/31/2016
321,104075,NORTH TAMPA BEHAVIORAL HEALTH,29910 SR 56 ,WESLEY CHAPEL,FL,33543,Pasco,0.01,5.02,19938.0,0.67,322.4,19938,,Not Available,Not Available,94.68%,730,771,80.03%,617,771,22.92%,127,554,38.60%,215,557,74.74%,71,95,50.53%,48,95,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,47.46%,140,295,26.78%,79,295,07/01/2014,06/30/2015,46.86%,149,318,38,88,229,10/01/2015,03/31/2016
322,104076,UNIVERSITY BEHAVIORAL CENTER,2500 DISCOVERY DRIVE ,ORLANDO,FL,32826,Orange,0.13,63.45,20452.0,0.23,111.3,20452,,0,0,97.36%,1105,1135,97.36%,1105,1135,100.00%,256,256,100.00%,256,256,99.00%,99,100,98.00%,98,100,Yes,Paper or Other Form,Yes,01/01/2015,12/31/2015,31.91%,30,94,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,43.31%,204,471,45,132,294,10/01/2015,03/31/2016
323,104078,SUNCOAST BEHAVIORAL HEALTH CENTER,4480 51ST ST. W ,BRADENTON ,FL,34210,Manatee,0.05,10.41,8515.0,0.48,98.13,8515,,Not Available,Not Available,97.49%,737,756,81.08%,613,756,98.14%,264,269,98.14%,264,269,92.81%,129,139,45.32%,63,139,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,59.70%,40,67,25.37%,17,67,07/01/2014,06/30/2015,90.98%,353,388,51,49,96,10/01/2015,03/31/2016
324,104079,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH ,7031 SW 62ND AVE ,SOUTH MIAMI ,FL,33143,Miami-Dade,0.07,3.0,1755.0,0.0,0,1755,100.0,12,12,100.00%,66,66,100.00%,66,66,100.00%,103,103,100.00%,103,103,100.00%,82,82,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,99.31%,143,144,58,53,92,10/01/2015,03/31/2016
325,110001,HAMILTON MEDICAL CENTER,1200 MEMORIAL DRIVE ,DALTON,GA,30720,Whitfield,0.0,0.0,3041.0,0.0,0,3041,100.0,27,27,90.41%,198,219,90.41%,198,219,99.76%,414,415,100.00%,415,415,94.07%,254,270,49.26%,133,270,Yes,Certified EHR Technology,No,01/01/2015,12/31/2015,66.27%,55,83,26.51%,22,83,07/01/2014,06/30/2015,99.23%,259,261,100,24,24,10/01/2015,03/31/2016
326,110003,MAYO CLINIC HEALTH SYSTEM IN WAYCROSS,1900 TEBEAU STREET ,WAYCROSS,GA,31501,Ware,0.0,0.0,3367.0,0.0,0,3367,,Not Available,Not Available,98.24%,335,341,96.48%,329,341,51.52%,68,132,99.35%,152,153,65.52%,19,29,51.72%,15,29,No,Paper or Other Form,No,01/01/2015,12/31/2015,61.76%,21,34,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,90.79%,138,152,60,21,35,10/01/2015,03/31/2016
327,110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,417 THIRD AVENUE ,ALBANY,GA,31703,Dougherty,0.0,0.13,6359.0,0.23,34.91,6359,,Not Available,Not Available,2.64%,11,416,Not Available,Not Available,Not Available,85.23%,329,386,99.22%,381,384,Not Available,Not Available,Not Available,0.00%,0,160,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,46.48%,66,142,24.65%,35,142,07/01/2014,06/30/2015,52.35%,189,361,85,78,92,10/01/2015,03/31/2016
328,110010,EMORY UNIVERSITY HOSPITAL,"1364 CLIFTON ROAD, NE ROOM C-228",ATLANTA,GA,30322,DeKalb,0.13,14.79,4677.0,0.48,53.32,4677,100.0,12,12,98.23%,333,339,97.35%,330,339,99.53%,425,427,99.30%,423,426,96.64%,115,119,33.61%,40,119,Yes,Certified EHR Technology,No,01/01/2015,12/31/2015,71.96%,77,107,49.53%,53,107,07/01/2014,06/30/2015,99.31%,288,290,97,534,553,10/01/2015,03/31/2016
329,110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY ,VILLA RICA,GA,30180,Carroll,0.03,13.63,21623.0,0.02,9.16,21623,,Not Available,Not Available,97.30%,828,851,97.06%,826,851,99.82%,548,549,100.00%,544,544,87.96%,314,357,18.49%,66,357,No,Paper or Other Form,No,01/01/2015,12/31/2015,41.90%,106,253,20.95%,53,253,07/01/2014,06/30/2015,100.00%,1828,1828,99,1676,1700,10/01/2015,03/31/2016
330,110029,"NORTHEAST GEORGIA MEDICAL CENTER, INC",743 SPRING STREET ,GAINESVILLE,GA,30501,Hall,0.05,16.53,12955.0,0.01,3.47,12955,33.33,13,39,86.54%,701,810,84.20%,682,810,91.72%,277,302,98.68%,299,303,48.69%,93,191,41.88%,80,191,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,54.33%,113,208,28.85%,60,208,07/01/2014,06/30/2015,94.65%,354,374,85,216,253,10/01/2015,03/31/2016
331,110036,MEMORIAL UNIVERSITY MEDICAL CENTER,4700 WATERS AVENUE ,SAVANNAH,GA,31403,Chatham,0.01,2.07,7707.0,0.05,10.15,7707,34.38,11,32,83.98%,304,362,57.73%,209,362,91.90%,397,432,96.32%,419,435,24.30%,52,214,19.16%,41,214,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,42.00%,21,50,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,89.50%,179,200,100,11,11,10/01/2015,03/31/2016
332,110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE ,THOMASVILLE,GA,31792,Thomas,0.0,0.0,5810.0,0.0,0,5810,,Not Available,Not Available,100.00%,470,470,98.94%,465,470,97.93%,425,434,100.00%,434,434,76.21%,157,206,68.45%,141,206,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,35.80%,29,81,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,93.25%,304,326,Not Available,Not Available,Not Available,10/01/2015,03/31/2016
333,110039,TRINITY HOSPITAL OF AUGUSTA,2260 WRIGHTSBORO RD ,AUGUSTA,GA,30904,Richmond,0.0,0.0,4222.0,0.0,0,4222,,Not Available,Not Available,98.78%,243,246,95.12%,234,246,97.62%,246,252,100.00%,253,253,100.00%,36,36,Not Available,Not Available,Not Available,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,36.84%,14,38,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,92.86%,104,112,32,12,37,10/01/2015,03/31/2016
334,110040,NORTHRIDGE MEDICAL CENTER,70 MEDICAL CENTER DRIVE ,COMMERCE,GA,30529,Jackson,4.17,31.25,312.0,1.03,7.75,312,93.94,62,66,97.07%,397,409,95.11%,389,409,100.00%,409,409,100.00%,409,409,35.19%,19,54,29.63%,16,54,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,39.47%,15,38,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,52.85%,102,193,54,19,35,10/01/2015,03/31/2016
335,110054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD P O BOX 233 ,ROME,GA,30162,Floyd,0.0,0.0,6748.0,0.05,8.05,6748,0.0,0,51,59.93%,335,559,14.85%,83,559,12.19%,69,566,99.82%,564,565,Not Available,Not Available,Not Available,0.00%,0,324,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,51.05%,122,239,23.43%,56,239,07/01/2014,06/30/2015,99.43%,174,175,93,176,190,10/01/2015,03/31/2016
336,110071,APPLING HOSPITAL,163 E TOLLISON STREET ,BAXLEY,GA,31513,Appling,,0.0,0.0,,0,0,100.0,257,257,100.00%,738,738,100.00%,738,738,100.00%,712,712,100.00%,712,712,100.00%,145,145,100.00%,145,145,No,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,97.65%,83,85,88,60,68,10/01/2015,03/31/2016
337,110079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE ",ATLANTA,GA,30303,Fulton,0.5,103.55,8646.0,0.25,51.88,8646,,Not Available,Not Available,96.97%,224,231,92.64%,214,231,89.78%,457,509,92.59%,475,513,0.00%,0,211,0.00%,0,211,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,35.71%,35,98,17.35%,17,98,07/01/2014,06/30/2015,98.34%,297,302,100,184,184,10/01/2015,03/31/2016
338,110092,DODGE COUNTY HOSPITAL,901 GRIFFIN AVE ,EASTMAN,GA,31023,Dodge,0.0,0.0,898.0,0.0,0,898,,Not Available,Not Available,88.57%,62,70,48.57%,34,70,29.41%,20,68,98.57%,69,70,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,76.19%,16,21,51,168,330,10/01/2015,03/31/2016
339,110101,COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,706 N PARRISH AVE. ,ADEL,GA,31620,Cook,0.0,0.0,2314.0,0.0,0,2314,,Not Available,Not Available,92.39%,170,184,87.50%,161,184,89.66%,104,116,91.30%,105,115,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Certified EHR Technology,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,95.12%,78,82,100,54,54,10/01/2015,03/31/2016
340,110107,"MEDICAL CENTER, NAVICENT HEALTH (THE)",777 HEMLOCK STREET ,MACON,GA,31201,Bibb,8.19,852.82,4340.0,0.76,79.2,4340,,Not Available,Not Available,85.45%,182,213,80.75%,172,213,99.41%,335,337,100.00%,340,340,65.92%,147,223,59.64%,133,223,No,Certified EHR Technology,Yes,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,73.15%,79,108,97,30,31,10/01/2015,03/31/2016
341,110109,EMANUEL MEDICAL CENTER,117 KITE ROAD ,SWAINSBORO,GA,30401,Emanuel,0.0,0.0,1282.0,0.0,0,1282,0.0,0,16,56.25%,63,112,Not Available,Not Available,Not Available,86.14%,87,101,97.03%,98,101,Not Available,Not Available,Not Available,0.00%,0,19,Yes,Paper or Other Form,No,01/01/2015,12/31/2015,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,07/01/2014,06/30/2015,53.23%,66,124,48,16,33,10/01/2015,03/31/2016
342,110115,WELLSTAR ATLANTA MEDICAL CENTER,303 PARKWAY DR NE ,ATLANTA,GA,30312,Fulton,0.13,21.8,6924.0,0.13,21.8,6924,,Not Available,Not Available,96.04%,461,480,91.46%,439,480,91.52%,356,389,99.74%,389,390,95.69%,200,209,17.70%,37,209,Yes,Certified EHR Technology,Yes,01/01/2015,12/31/2015,33.10%,48,145,17.93%,26,145,07/01/2014,06/30/2015,90.78%,325,358,91,2915,3218,10/01/2015,03/31/2016
